A. I. Aparnev,Novosibirsk State Technical University,RU,"Electronic and Structural Properties of Oxides
Gas Sensing Nanomaterials and Sensors
Advancements in Solid Oxide Fuel Cells","Carbon Monoxide Semiconductor Sensors Based on SnO2-Bi2O3 (14 citations)
Study of thermal decomposition of hexahydroxostannates(IV) MSn(OH)6, (M = Mg, Sr, Ca) (8 citations)
Nanocomposites Prepared via Thermal Decomposition of Calcium Hydroxystannate CaSn(OH)6 (7 citations)"
A. B. Kostin,Moscow Center of Fundamental and Applied Mathematics,RU,"Differential Equations and Boundary Problems
Numerical methods in inverse problems
Advanced Mathematical Modeling in Engineering","ON CERTAIN INVERSE PROBLEMS FOR PARABOLIC EQUATIONS WITH FINAL AND INTEGRAL OBSERVATION (106 citations)
The inverse problem of recovering the source in a parabolic equation under a condition of nonlocal observation (48 citations)
Inverse source problem for parabolic equation with the condition of integral observation in time (34 citations)"
Timur A. Bidzhiev,Moscow Power Engineering Institute,RU,"Microgrid Control and Optimization
Wind Turbine Control Systems
Power Systems and Renewable Energy",Application of a Battery Energy Storage System to Reduce Fluctuations in the Power Output of a Wind Farm Integrated into the Power System (5 citations)
S. A. Chevychelov,Southwest Minnesota State University,US,"Engineering Technology and Methodologies
Advanced machining processes and optimization
Industrial Engineering and Technologies","A Method of Processing of Involute Profiles of Large-Module Gear Wheels (4 citations)
Influence of axial harmonic oscillations on chip formation when drilling holes in ductile metals (4 citations)
Rear angle of a helical bit in hole shaping with axial vibration (4 citations)"
V. A. Krasnyi,Saint Petersburg Mining University,RU,"Tribology and Wear Analysis
Diamond and Carbon-based Materials Research
Fullerene Chemistry and Applications","Improving Wear Resistance of Friction Assemblies of Oil-Well Pumps Having Seals from Directionally Reinforced Polymer Composites (14 citations)
Use of Directional Solidification for Improving Tubular Workpiece Quality of Different Cast Irons (6 citations)
Influence of C60 fullerene on fretting wear of metals (3 citations)"
Michael Kravchenko,,,"Global Maternal and Child Health
Cerebrovascular and Carotid Artery Diseases
Acute Ischemic Stroke Management","Global burden of 369 diseases and injuries in 204 countries and territories, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019 (19899 citations)
Global, regional, and national incidence, prevalence, and years lived with disability for 354 diseases and injuries for 195 countries and territories, 1990–2017: a systematic analysis for the Global Burden of Disease Study 2017 (14231 citations)
Global, regional, and national incidence, prevalence, and years lived with disability for 328 diseases and injuries for 195 countries, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016 (13633 citations)"
A. Natyrova,,,"Advanced Graph Neural Networks
Machine Learning in Materials Science
Computational Physics and Python Applications","CayleyPy-4: AI-Holography. Towards analogs of holographic string dualities for AI tasks (0 citations)
CayleyPy-4: AI-Holography. Towards analogs of holographic string dualities for AI tasks (0 citations)"
A. Rozanov,Independent University of Moscow,RU,"Particle physics theoretical and experimental studies
High-Energy Particle Collisions Research
Particle Detector Development and Performance","Combined Measurement of the Higgs Boson Mass in p p Collisions at s = 7 and 8 TeV with the ATLAS and CMS Experiments (1354 citations)
Measurements of the Higgs boson production and decay rates and constraints on its couplings from a combined ATLAS and CMS analysis of the LHC pp collision data at s = 7 $$ \sqrt{s}=7 $$ and 8 TeV (1095 citations)
Performance of the ATLAS trigger system in 2015 (1004 citations)"
А. В. Наумов,Institute of Spectroscopy,RU,"Spectroscopy and Quantum Chemical Studies
Photochemistry and Electron Transfer Studies
Quantum Dots Synthesis And Properties","Low-temperature spectroscopy of organic molecules in solid matrices: from the Shpol'skii effect to laser luminescent spectromicroscopy for all effectively emitting single molecules (97 citations)
Laser selective spectromicroscopy of myriad single molecules: tool for far-field multicolour materials nanodiagnostics (56 citations)
Ag-Nanowire Bundles with Gap Hot Spots Synthesized in Track-Etched Membranes as Effective SERS-Substrates (53 citations)"
A. Chervov,,,"Algebraic structures and combinatorial models
Nonlinear Waves and Solitons
Advanced Topics in Algebra","Quantum spectral curves, quantum integrable systems and the geometric Langlands correspondence (78 citations)
On Higher-Order Sugawara Operators (51 citations)
Algebraic properties of Manin matrices 1 (47 citations)"
А. Е. Романов,All-Russian Research Institute Fisheries and Oceanography,RU,"ZnO doping and properties
Ga2O3 and related materials
GaN-based semiconductor devices and materials","Strain-induced polarization in wurtzite III-nitride semipolar layers (712 citations)
On the structure, stress fields and energy of nonequilibrium grain boundaries (289 citations)
Application of disclination concept to solid structures (231 citations)"
